"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Sambucca"	"CHF 16,00"	""	""	""	""	""	""	"CHF 16,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Matte Dry Gin 4cl"	"CHF 16,00"	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 16,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Ovo"	"CHF 15,90"	""	""	""	""	"CHF 5,30"	""	"CHF 5,30"	""	""	""	""	""	""	""	""	""	"CHF 5,30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Wray & Nephew 4cl"	"CHF 15,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 15,00"	""	""	""	""	""	""	""	""	""	""	""	""
"The Botanist Islay 22 4cl"	"CHF 15,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 15,00"	""	""	""	""	""
"Nikka From the Barrel 4cl"	"CHF 14,00"	""	""	""	""	"CHF 14,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Vodka Lemon"	"CHF 14,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 14,00"	""	""	""	""	""	""	""	""	""	""
"Mixer Bitterlemon"	"CHF 12,00"	""	""	""	""	""	""	"CHF 6,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 6,00"	""	""	""
"Jägermeister 4cl"	"CHF 12,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 12,00"	""	""	""	""	""	""	""	""	""	""
"Wasser mit 0,5"	"CHF 10,50"	""	""	""	""	""	""	""	""	"CHF 3,50"	""	""	"CHF 3,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 3,50"	""	""
"Hahnenwasser 30cl"	"CHF 10,00"	""	"CHF 5,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 5,00"	""	""	""	""	""	""	""	""	""
"Averna 4cl"	"CHF 9,00"	""	""	""	""	"CHF 9,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Stangensellerie- Ananas Saft"	"CHF 8,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 8,50"	""	""
"Karotten-Orangen Saft"	"CHF 8,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 8,50"	""	""
"Martini Rubino 4cl"	"CHF 8,00"	""	""	""	""	""	"CHF 8,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Limoncello 2cl"	"CHF 8,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 4,00"	""	""	""	""	""	"CHF 4,00"	""	""	""	""	""	""	""	""	""	""	""
"Cappuccino Fredo"	"CHF 7,20"	""	""	""	""	""	""	""	""	""	""	"CHF 7,20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Bumbu 2cl"	"CHF 7,00"	""	""	""	""	""	""	"CHF 7,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Latte Macchiato Decaf"	"CHF 6,40"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 6,40"	""	""	""	""	""	""	""	""	""	""	""	""	""
"Tequila Shot"	"CHF 6,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 6,00"	""	""	""	""	""	""	""	""	""	""
"Espresso Macchiato Decaf"	"CHF 5,80"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 5,80"	""	""	""	""	""	""	""	""	""
"Ketel One 2cl"	"CHF 5,00"	""	""	""	"CHF 5,00"	""	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Wasser ohne 0,5 JE"	"CHF 4,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 4,50"	""	""	""	""	""	""	""	""	""	""	""
"Mixer Cola Zero"	"CHF 3,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 3,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"heiss"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	""	""	""	"CHF 0,00"	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	""
"Jasmine Pearl"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	""	""	""	""	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	"CHF 0,00"	""	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	"CHF 0,00"	""	""	""
"ohne"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""
"Menthe du Maroc"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""
"Berner Rosen"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""	"CHF 0,00"	""	"CHF 0,00"	""	""	""	""	"CHF 0,00"	""	""	""	""	"CHF 0,00"	"CHF 0,00"	""	""	""
