"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Gesamt - Food (Speisen)"	"CHF 208793,90"	"CHF 5796,00"	"CHF 4629,50"	"CHF 4911,00"	"CHF 5133,00"	"CHF 10247,40"	"CHF 8975,50"	"CHF 12244,50"	"CHF 7242,50"	"CHF 4109,50"	"CHF 4626,00"	"CHF 4512,00"	"CHF 9175,00"	"CHF 10175,50"	"CHF 10636,00"	"CHF 5402,50"	"CHF 3151,50"	"CHF 6111,50"	"CHF 8207,00"	"CHF 6319,00"	"CHF 10693,00"	"CHF 9865,00"	"CHF 6350,00"	"CHF 3515,00"	"CHF 6195,50"	"CHF 5570,00"	"CHF 8283,00"	"CHF 9435,50"	"CHF 11461,50"	"CHF 5820,50"	""	""
"Die Carbonara Pasta Linguine"	"CHF 5250,00"	"CHF 175,00"	"CHF 50,00"	"CHF 175,00"	"CHF 75,00"	"CHF 100,00"	"CHF 250,00"	"CHF 600,00"	"CHF 250,00"	"CHF 62,50"	"CHF 75,00"	"CHF 75,00"	"CHF 150,00"	"CHF 100,00"	"CHF 400,00"	"CHF 175,00"	"CHF 75,00"	"CHF 212,50"	"CHF 250,00"	"CHF 125,00"	"CHF 312,50"	"CHF 150,00"	"CHF 125,00"	"CHF 100,00"	"CHF 62,50"	"CHF 200,00"	"CHF 250,00"	"CHF 250,00"	"CHF 250,00"	"CHF 175,00"	""	""
"Der Burger"	"CHF 5219,00"	"CHF 442,00"	""	"CHF 102,00"	"CHF 34,00"	"CHF 170,00"	"CHF 136,00"	"CHF 374,00"	"CHF 170,00"	"CHF 68,00"	"CHF 102,00"	"CHF 68,00"	""	"CHF 238,00"	"CHF 272,00"	"CHF 255,00"	"CHF 17,00"	"CHF 204,00"	"CHF 272,00"	"CHF 340,00"	"CHF 272,00"	"CHF 408,00"	"CHF 255,00"	"CHF 68,00"	"CHF 238,00"	"CHF 102,00"	"CHF 102,00"	"CHF 102,00"	"CHF 408,00"	""	""	""
"Menu"	"CHF 5140,00"	""	""	"CHF 180,00"	""	""	"CHF 180,00"	""	""	""	""	""	""	"CHF 2500,00"	""	""	""	""	"CHF 2280,00"	""	""	""	""	""	""	""	""	""	""	""	""	""
"Tagesmenu 2"	"CHF 5050,00"	""	"CHF 450,00"	"CHF 375,00"	"CHF 400,00"	"CHF 387,50"	"CHF 150,00"	""	""	"CHF 150,00"	"CHF 87,50"	"CHF 175,00"	"CHF 225,00"	"CHF 150,00"	""	""	"CHF 125,00"	"CHF 62,50"	"CHF 50,00"	"CHF 175,00"	"CHF 350,00"	""	""	"CHF 187,50"	"CHF 475,00"	"CHF 325,00"	"CHF 375,00"	"CHF 375,00"	""	""	""	""
"Die Limone Minze Ricotta Ravioli"	"CHF 5017,00"	"CHF 58,00"	"CHF 58,00"	"CHF 87,00"	"CHF 29,00"	"CHF 261,00"	"CHF 145,00"	"CHF 435,00"	"CHF 174,00"	"CHF 203,00"	"CHF 174,00"	"CHF 145,00"	"CHF 116,00"	"CHF 261,00"	"CHF 261,00"	"CHF 145,00"	"CHF 232,00"	"CHF 174,00"	"CHF 203,00"	"CHF 145,00"	"CHF 377,00"	"CHF 203,00"	"CHF 174,00"	"CHF 87,00"	"CHF 29,00"	"CHF 116,00"	"CHF 58,00"	"CHF 145,00"	"CHF 435,00"	"CHF 87,00"	""	""
"Pizza Royal Margherita"	"CHF 5016,00"	"CHF 240,00"	"CHF 216,00"	"CHF 72,00"	"CHF 120,00"	"CHF 240,00"	"CHF 240,00"	"CHF 240,00"	"CHF 312,00"	"CHF 120,00"	"CHF 144,00"	"CHF 96,00"	"CHF 96,00"	"CHF 216,00"	"CHF 264,00"	"CHF 72,00"	""	"CHF 24,00"	"CHF 120,00"	"CHF 120,00"	"CHF 240,00"	"CHF 408,00"	"CHF 192,00"	"CHF 96,00"	"CHF 216,00"	"CHF 168,00"	"CHF 72,00"	"CHF 288,00"	"CHF 312,00"	"CHF 72,00"	""	""
"Die Lachspasta Trofie"	"CHF 4914,00"	"CHF 243,00"	"CHF 81,00"	""	"CHF 27,00"	"CHF 162,00"	"CHF 189,00"	"CHF 378,00"	"CHF 189,00"	"CHF 108,00"	"CHF 54,00"	"CHF 27,00"	"CHF 108,00"	"CHF 297,00"	"CHF 270,00"	"CHF 135,00"	"CHF 135,00"	"CHF 162,00"	"CHF 54,00"	"CHF 108,00"	"CHF 432,00"	"CHF 297,00"	"CHF 216,00"	"CHF 27,00"	"CHF 81,00"	"CHF 108,00"	"CHF 108,00"	"CHF 351,00"	"CHF 405,00"	"CHF 162,00"	""	""
"Fleisch menu"	"CHF 4902,00"	""	""	""	""	""	""	""	""	""	""	""	"CHF 2782,00"	""	""	""	"CHF 230,00"	""	""	""	""	""	""	""	""	""	"CHF 1890,00"	""	""	""	""	""
"Die San Remo Pasta Campanelle"	"CHF 4830,00"	"CHF 56,00"	"CHF 112,00"	"CHF 168,00"	"CHF 112,00"	"CHF 252,00"	"CHF 168,00"	"CHF 462,00"	"CHF 98,00"	"CHF 28,00"	"CHF 168,00"	"CHF 56,00"	"CHF 196,00"	"CHF 84,00"	"CHF 420,00"	"CHF 182,00"	""	"CHF 168,00"	"CHF 56,00"	"CHF 112,00"	"CHF 168,00"	"CHF 224,00"	"CHF 252,00"	"CHF 112,00"	"CHF 168,00"	"CHF 224,00"	"CHF 84,00"	"CHF 448,00"	"CHF 196,00"	"CHF 56,00"	""	""
"Die Rind Pasta Campanelle"	"CHF 4788,00"	"CHF 112,00"	"CHF 42,00"	"CHF 28,00"	"CHF 28,00"	"CHF 168,00"	"CHF 280,00"	"CHF 448,00"	"CHF 308,00"	"CHF 84,00"	""	"CHF 28,00"	"CHF 210,00"	"CHF 112,00"	"CHF 406,00"	"CHF 224,00"	"CHF 28,00"	"CHF 196,00"	"CHF 56,00"	"CHF 112,00"	"CHF 392,00"	"CHF 168,00"	"CHF 98,00"	"CHF 84,00"	"CHF 56,00"	"CHF 196,00"	"CHF 112,00"	"CHF 224,00"	"CHF 336,00"	"CHF 252,00"	""	""
"Die Gamberi Pasta Linguine"	"CHF 4741,50"	"CHF 203,00"	""	"CHF 116,00"	"CHF 87,00"	"CHF 29,00"	"CHF 261,00"	"CHF 580,00"	"CHF 174,00"	"CHF 145,00"	"CHF 29,00"	"CHF 29,00"	"CHF 87,00"	"CHF 261,00"	"CHF 319,00"	"CHF 58,00"	""	"CHF 145,00"	"CHF 58,00"	"CHF 116,00"	"CHF 232,00"	"CHF 304,50"	"CHF 130,50"	"CHF 43,50"	"CHF 116,00"	"CHF 261,00"	"CHF 58,00"	"CHF 174,00"	"CHF 333,50"	"CHF 391,50"	""	""
"Pizza Prosciutto TA"	"CHF 4650,00"	"CHF 30,00"	"CHF 150,00"	"CHF 260,00"	"CHF 200,00"	"CHF 240,00"	"CHF 240,00"	"CHF 140,00"	"CHF 110,00"	"CHF 230,00"	"CHF 240,00"	"CHF 220,00"	"CHF 160,00"	"CHF 200,00"	"CHF 40,00"	"CHF 40,00"	"CHF 90,00"	"CHF 200,00"	"CHF 120,00"	"CHF 210,00"	"CHF 340,00"	"CHF 160,00"	"CHF 60,00"	"CHF 110,00"	"CHF 230,00"	"CHF 180,00"	"CHF 150,00"	"CHF 200,00"	"CHF 100,00"	""	""	""
"Der Gemischte"	"CHF 4074,00"	"CHF 96,00"	"CHF 48,00"	"CHF 120,00"	"CHF 72,00"	"CHF 120,00"	"CHF 108,00"	"CHF 228,00"	"CHF 132,00"	"CHF 48,00"	"CHF 60,00"	"CHF 120,00"	"CHF 60,00"	"CHF 132,00"	"CHF 288,00"	"CHF 144,00"	"CHF 60,00"	"CHF 144,00"	"CHF 204,00"	"CHF 96,00"	"CHF 168,00"	"CHF 300,00"	"CHF 150,00"	"CHF 96,00"	"CHF 156,00"	"CHF 108,00"	"CHF 180,00"	"CHF 228,00"	"CHF 276,00"	"CHF 132,00"	""	""
"Tagesmenu 1"	"CHF 4050,00"	""	"CHF 287,50"	"CHF 350,00"	"CHF 425,00"	"CHF 187,50"	"CHF 175,00"	""	""	"CHF 175,00"	"CHF 262,50"	"CHF 262,50"	"CHF 300,00"	"CHF 287,50"	""	""	"CHF 162,50"	"CHF 137,50"	"CHF 250,00"	"CHF 237,50"	"CHF 75,00"	""	""	"CHF 50,00"	"CHF 100,00"	"CHF 100,00"	"CHF 200,00"	"CHF 25,00"	""	""	""	""
"Pizza Prosciutto e Funghi TA"	"CHF 3960,00"	"CHF 60,00"	"CHF 80,00"	"CHF 200,00"	"CHF 280,00"	"CHF 140,00"	"CHF 290,00"	"CHF 180,00"	"CHF 70,00"	"CHF 140,00"	"CHF 210,00"	"CHF 190,00"	"CHF 160,00"	"CHF 140,00"	"CHF 60,00"	"CHF 30,00"	"CHF 100,00"	"CHF 140,00"	"CHF 90,00"	"CHF 200,00"	"CHF 170,00"	"CHF 120,00"	"CHF 120,00"	"CHF 110,00"	"CHF 210,00"	"CHF 100,00"	"CHF 80,00"	"CHF 160,00"	"CHF 90,00"	"CHF 40,00"	""	""
"Pizza Prosciutto e Funghi"	"CHF 3912,00"	"CHF 144,00"	"CHF 120,00"	"CHF 48,00"	"CHF 120,00"	"CHF 168,00"	"CHF 144,00"	"CHF 240,00"	"CHF 96,00"	"CHF 24,00"	"CHF 96,00"	"CHF 168,00"	"CHF 96,00"	"CHF 192,00"	"CHF 288,00"	"CHF 48,00"	"CHF 48,00"	"CHF 48,00"	"CHF 120,00"	"CHF 192,00"	"CHF 168,00"	"CHF 240,00"	"CHF 120,00"	"CHF 120,00"	"CHF 240,00"	"CHF 216,00"	"CHF 72,00"	"CHF 96,00"	"CHF 168,00"	"CHF 72,00"	""	""
"Pizza Parma"	"CHF 3844,00"	"CHF 31,00"	""	"CHF 31,00"	"CHF 124,00"	"CHF 124,00"	"CHF 186,00"	"CHF 248,00"	"CHF 62,00"	""	"CHF 186,00"	"CHF 93,00"	"CHF 124,00"	"CHF 217,00"	"CHF 186,00"	"CHF 62,00"	""	"CHF 186,00"	"CHF 124,00"	"CHF 62,00"	"CHF 217,00"	"CHF 124,00"	"CHF 124,00"	"CHF 93,00"	"CHF 93,00"	"CHF 124,00"	"CHF 310,00"	"CHF 341,00"	"CHF 248,00"	"CHF 124,00"	""	""
"Fleisch Menu"	"CHF 3821,00"	""	""	""	""	"CHF 2925,00"	""	""	""	""	""	""	""	""	"CHF 896,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Pizza Margherita Classico TA"	"CHF 3750,00"	"CHF 80,00"	"CHF 120,00"	"CHF 190,00"	"CHF 130,00"	"CHF 140,00"	"CHF 230,00"	"CHF 130,00"	"CHF 80,00"	"CHF 120,00"	"CHF 110,00"	"CHF 110,00"	"CHF 180,00"	"CHF 200,00"	"CHF 30,00"	"CHF 20,00"	"CHF 90,00"	"CHF 170,00"	"CHF 180,00"	"CHF 160,00"	"CHF 230,00"	"CHF 240,00"	"CHF 40,00"	"CHF 140,00"	"CHF 190,00"	"CHF 130,00"	"CHF 110,00"	"CHF 90,00"	"CHF 80,00"	"CHF 30,00"	""	""
"Die Zucchetti Pasta Campanelle"	"CHF 3708,00"	"CHF 48,00"	"CHF 144,00"	"CHF 144,00"	"CHF 120,00"	"CHF 168,00"	"CHF 216,00"	"CHF 264,00"	"CHF 168,00"	""	"CHF 192,00"	"CHF 72,00"	"CHF 96,00"	"CHF 192,00"	"CHF 168,00"	"CHF 48,00"	"CHF 72,00"	"CHF 144,00"	""	"CHF 72,00"	"CHF 264,00"	"CHF 72,00"	"CHF 168,00"	"CHF 72,00"	"CHF 96,00"	"CHF 120,00"	"CHF 60,00"	"CHF 312,00"	"CHF 192,00"	"CHF 24,00"	""	""
"Pizza Vulcano"	"CHF 3528,00"	"CHF 144,00"	"CHF 96,00"	"CHF 48,00"	"CHF 24,00"	"CHF 216,00"	"CHF 192,00"	"CHF 240,00"	"CHF 168,00"	"CHF 48,00"	"CHF 24,00"	"CHF 72,00"	"CHF 72,00"	"CHF 240,00"	"CHF 384,00"	"CHF 48,00"	"CHF 24,00"	"CHF 96,00"	"CHF 24,00"	"CHF 96,00"	"CHF 216,00"	"CHF 120,00"	"CHF 144,00"	"CHF 48,00"	"CHF 120,00"	"CHF 24,00"	"CHF 168,00"	"CHF 168,00"	"CHF 168,00"	"CHF 96,00"	""	""
"Die Rippen"	"CHF 3344,00"	"CHF 44,00"	""	"CHF 88,00"	"CHF 44,00"	"CHF 44,00"	"CHF 132,00"	"CHF 220,00"	"CHF 44,00"	"CHF 44,00"	""	"CHF 44,00"	""	"CHF 88,00"	"CHF 176,00"	"CHF 308,00"	""	"CHF 88,00"	"CHF 132,00"	"CHF 308,00"	"CHF 220,00"	"CHF 352,00"	""	""	"CHF 220,00"	"CHF 44,00"	"CHF 44,00"	"CHF 132,00"	"CHF 440,00"	"CHF 88,00"	""	""
"Das Rindsfilet"	"CHF 3300,00"	""	"CHF 55,00"	""	"CHF 55,00"	"CHF 110,00"	"CHF 165,00"	"CHF 220,00"	"CHF 385,00"	""	""	"CHF 55,00"	"CHF 55,00"	"CHF 110,00"	"CHF 220,00"	"CHF 110,00"	"CHF 110,00"	"CHF 165,00"	"CHF 55,00"	"CHF 220,00"	"CHF 55,00"	"CHF 110,00"	"CHF 55,00"	""	"CHF 55,00"	"CHF 55,00"	"CHF 110,00"	"CHF 165,00"	"CHF 605,00"	""	""	""
"Die Pistazien Ravioli"	"CHF 3072,00"	"CHF 192,00"	""	"CHF 32,00"	"CHF 96,00"	"CHF 96,00"	"CHF 224,00"	"CHF 128,00"	"CHF 96,00"	"CHF 128,00"	"CHF 96,00"	"CHF 32,00"	"CHF 96,00"	"CHF 64,00"	"CHF 224,00"	"CHF 96,00"	"CHF 32,00"	"CHF 160,00"	"CHF 64,00"	"CHF 64,00"	"CHF 256,00"	"CHF 160,00"	"CHF 32,00"	""	"CHF 32,00"	"CHF 64,00"	"CHF 32,00"	"CHF 128,00"	"CHF 224,00"	"CHF 224,00"	""	""
"Tagesmenu 3"	"CHF 3072,00"	""	"CHF 192,00"	"CHF 96,00"	"CHF 96,00"	"CHF 120,00"	"CHF 24,00"	""	""	"CHF 24,00"	"CHF 216,00"	"CHF 336,00"	"CHF 288,00"	"CHF 120,00"	""	""	"CHF 96,00"	"CHF 192,00"	"CHF 312,00"	"CHF 264,00"	"CHF 144,00"	""	""	""	"CHF 96,00"	"CHF 168,00"	"CHF 120,00"	"CHF 168,00"	""	""	""	""
"Pizza Margherita Classico"	"CHF 2992,50"	"CHF 152,00"	"CHF 76,00"	"CHF 95,00"	"CHF 247,00"	"CHF 133,00"	"CHF 133,00"	"CHF 228,00"	"CHF 133,00"	"CHF 38,00"	"CHF 76,00"	"CHF 57,00"	"CHF 114,00"	"CHF 95,00"	"CHF 114,00"	"CHF 19,00"	"CHF 38,00"	"CHF 38,00"	"CHF 57,00"	"CHF 19,00"	"CHF 209,00"	"CHF 114,00"	"CHF 161,50"	""	"CHF 114,00"	"CHF 57,00"	"CHF 57,00"	"CHF 114,00"	"CHF 247,00"	"CHF 57,00"	""	""
"Das Tartufo Arancini"	"CHF 2950,00"	"CHF 50,00"	"CHF 25,00"	"CHF 50,00"	"CHF 100,00"	"CHF 100,00"	"CHF 100,00"	"CHF 150,00"	"CHF 100,00"	"CHF 25,00"	"CHF 75,00"	"CHF 50,00"	"CHF 50,00"	"CHF 100,00"	"CHF 100,00"	"CHF 75,00"	"CHF 75,00"	"CHF 150,00"	"CHF 100,00"	"CHF 100,00"	"CHF 200,00"	"CHF 225,00"	"CHF 100,00"	"CHF 50,00"	"CHF 75,00"	"CHF 100,00"	"CHF 75,00"	"CHF 300,00"	"CHF 175,00"	"CHF 75,00"	""	""
"Der Turm"	"CHF 2940,00"	"CHF 441,00"	""	""	""	""	""	""	"CHF 343,00"	""	""	""	""	""	""	"CHF 441,00"	""	""	""	""	""	""	"CHF 637,00"	""	""	""	""	""	""	"CHF 1078,00"	""	""
"Die Burrata"	"CHF 2916,00"	"CHF 72,00"	"CHF 72,00"	"CHF 18,00"	"CHF 36,00"	"CHF 36,00"	"CHF 162,00"	"CHF 144,00"	"CHF 108,00"	"CHF 54,00"	"CHF 72,00"	"CHF 36,00"	"CHF 72,00"	"CHF 180,00"	"CHF 234,00"	"CHF 90,00"	"CHF 54,00"	"CHF 54,00"	"CHF 18,00"	"CHF 108,00"	"CHF 108,00"	"CHF 234,00"	"CHF 90,00"	"CHF 18,00"	"CHF 72,00"	"CHF 144,00"	"CHF 36,00"	"CHF 234,00"	"CHF 288,00"	"CHF 72,00"	""	""
"Der Tomaten Burrata Risotto"	"CHF 2748,00"	"CHF 72,00"	""	"CHF 48,00"	"CHF 96,00"	"CHF 48,00"	"CHF 120,00"	"CHF 240,00"	"CHF 168,00"	"CHF 24,00"	"CHF 192,00"	"CHF 72,00"	"CHF 24,00"	"CHF 72,00"	"CHF 168,00"	""	"CHF 72,00"	"CHF 96,00"	"CHF 24,00"	"CHF 72,00"	"CHF 192,00"	"CHF 156,00"	"CHF 24,00"	"CHF 24,00"	"CHF 48,00"	"CHF 48,00"	"CHF 72,00"	"CHF 288,00"	"CHF 192,00"	"CHF 96,00"	""	""
"Der Blattsalat"	"CHF 2690,00"	"CHF 70,00"	"CHF 40,00"	"CHF 30,00"	"CHF 60,00"	"CHF 70,00"	"CHF 160,00"	"CHF 140,00"	"CHF 60,00"	"CHF 40,00"	"CHF 30,00"	"CHF 80,00"	"CHF 40,00"	"CHF 110,00"	"CHF 250,00"	"CHF 60,00"	"CHF 90,00"	"CHF 90,00"	"CHF 100,00"	"CHF 110,00"	"CHF 170,00"	"CHF 140,00"	"CHF 100,00"	"CHF 40,00"	"CHF 70,00"	"CHF 60,00"	"CHF 70,00"	"CHF 150,00"	"CHF 170,00"	"CHF 90,00"	""	""
"Die Poulet Pasta Torfie"	"CHF 2652,00"	"CHF 26,00"	""	"CHF 130,00"	"CHF 52,00"	"CHF 65,00"	"CHF 182,00"	"CHF 143,00"	"CHF 52,00"	"CHF 78,00"	"CHF 39,00"	"CHF 13,00"	"CHF 52,00"	"CHF 91,00"	"CHF 169,00"	"CHF 39,00"	""	"CHF 130,00"	"CHF 169,00"	"CHF 91,00"	"CHF 130,00"	"CHF 91,00"	"CHF 169,00"	"CHF 13,00"	"CHF 26,00"	"CHF 52,00"	"CHF 78,00"	"CHF 169,00"	"CHF 299,00"	"CHF 104,00"	""	""
"Das Kalbssteak 220gr"	"CHF 2632,00"	""	"CHF 47,00"	""	"CHF 47,00"	"CHF 94,00"	"CHF 47,00"	"CHF 282,00"	"CHF 94,00"	""	""	""	"CHF 47,00"	"CHF 94,00"	"CHF 282,00"	"CHF 47,00"	"CHF 47,00"	"CHF 94,00"	"CHF 517,00"	"CHF 94,00"	"CHF 47,00"	"CHF 47,00"	"CHF 47,00"	"CHF 94,00"	"CHF 47,00"	""	"CHF 141,00"	"CHF 47,00"	"CHF 188,00"	"CHF 141,00"	""	""
"Pizza Vegetariana"	"CHF 2599,00"	"CHF 161,00"	"CHF 46,00"	"CHF 92,00"	"CHF 46,00"	"CHF 92,00"	"CHF 69,00"	"CHF 138,00"	"CHF 69,00"	"CHF 23,00"	"CHF 92,00"	"CHF 46,00"	"CHF 69,00"	"CHF 46,00"	"CHF 184,00"	"CHF 46,00"	""	"CHF 115,00"	"CHF 115,00"	"CHF 23,00"	"CHF 230,00"	"CHF 276,00"	"CHF 161,00"	"CHF 23,00"	"CHF 69,00"	""	"CHF 92,00"	"CHF 115,00"	"CHF 138,00"	"CHF 23,00"	""	""
"Pizza Bernese"	"CHF 2465,00"	"CHF 29,00"	""	"CHF 87,00"	"CHF 58,00"	"CHF 87,00"	"CHF 232,00"	"CHF 203,00"	"CHF 29,00"	"CHF 58,00"	"CHF 87,00"	"CHF 87,00"	"CHF 87,00"	"CHF 87,00"	""	"CHF 116,00"	"CHF 29,00"	""	""	"CHF 116,00"	"CHF 232,00"	"CHF 203,00"	"CHF 174,00"	"CHF 58,00"	"CHF 145,00"	"CHF 87,00"	"CHF 58,00"	"CHF 87,00"	"CHF 29,00"	""	""	""
"Die Bolognese Pasta Linguine"	"CHF 2244,00"	"CHF 108,00"	"CHF 48,00"	""	"CHF 24,00"	"CHF 72,00"	"CHF 120,00"	"CHF 240,00"	"CHF 120,00"	"CHF 24,00"	"CHF 24,00"	"CHF 72,00"	"CHF 72,00"	"CHF 24,00"	"CHF 156,00"	"CHF 192,00"	"CHF 48,00"	"CHF 24,00"	"CHF 24,00"	"CHF 36,00"	"CHF 120,00"	"CHF 168,00"	"CHF 72,00"	"CHF 72,00"	"CHF 24,00"	""	"CHF 48,00"	"CHF 120,00"	"CHF 120,00"	"CHF 72,00"	""	""
"Die Pesto Pasta Trofie"	"CHF 2208,00"	"CHF 115,00"	"CHF 46,00"	"CHF 92,00"	"CHF 69,00"	"CHF 115,00"	"CHF 115,00"	"CHF 230,00"	"CHF 115,00"	"CHF 46,00"	"CHF 46,00"	"CHF 92,00"	"CHF 46,00"	"CHF 69,00"	"CHF 92,00"	"CHF 46,00"	""	"CHF 161,00"	"CHF 23,00"	"CHF 69,00"	"CHF 92,00"	"CHF 92,00"	"CHF 46,00"	"CHF 46,00"	"CHF 23,00"	"CHF 46,00"	"CHF 23,00"	"CHF 138,00"	"CHF 92,00"	"CHF 23,00"	""	""
"Pizza Rustico"	"CHF 2190,00"	"CHF 90,00"	"CHF 30,00"	"CHF 30,00"	"CHF 30,00"	"CHF 150,00"	""	"CHF 150,00"	"CHF 90,00"	""	""	"CHF 30,00"	"CHF 150,00"	"CHF 30,00"	"CHF 240,00"	"CHF 30,00"	""	""	""	"CHF 30,00"	"CHF 180,00"	"CHF 90,00"	"CHF 60,00"	"CHF 90,00"	"CHF 120,00"	"CHF 60,00"	"CHF 60,00"	"CHF 90,00"	"CHF 360,00"	""	""	""
"Pizza Manzo"	"CHF 2100,00"	"CHF 140,00"	"CHF 112,00"	"CHF 56,00"	"CHF 28,00"	"CHF 28,00"	"CHF 112,00"	"CHF 112,00"	"CHF 28,00"	"CHF 56,00"	"CHF 28,00"	""	"CHF 28,00"	"CHF 112,00"	"CHF 56,00"	"CHF 84,00"	""	"CHF 56,00"	""	"CHF 140,00"	"CHF 56,00"	"CHF 252,00"	"CHF 28,00"	"CHF 112,00"	"CHF 56,00"	"CHF 28,00"	"CHF 56,00"	"CHF 140,00"	"CHF 112,00"	"CHF 84,00"	""	""
"Tiramisu Kaviar Arabica"	"CHF 2030,00"	"CHF 56,00"	"CHF 14,00"	"CHF 42,00"	"CHF 84,00"	"CHF 56,00"	"CHF 70,00"	"CHF 252,00"	"CHF 98,00"	"CHF 56,00"	"CHF 14,00"	"CHF 28,00"	""	"CHF 84,00"	"CHF 112,00"	"CHF 112,00"	"CHF 70,00"	"CHF 42,00"	"CHF 28,00"	"CHF 70,00"	"CHF 56,00"	"CHF 196,00"	"CHF 56,00"	""	"CHF 14,00"	"CHF 98,00"	"CHF 98,00"	"CHF 70,00"	"CHF 154,00"	""	""	""
"Pizza Tonno"	"CHF 2016,00"	"CHF 24,00"	"CHF 72,00"	"CHF 96,00"	"CHF 72,00"	"CHF 72,00"	"CHF 48,00"	"CHF 120,00"	"CHF 120,00"	"CHF 72,00"	"CHF 48,00"	"CHF 24,00"	"CHF 48,00"	"CHF 48,00"	"CHF 72,00"	"CHF 24,00"	""	"CHF 96,00"	"CHF 24,00"	""	"CHF 192,00"	"CHF 72,00"	"CHF 72,00"	""	"CHF 120,00"	"CHF 24,00"	"CHF 168,00"	"CHF 120,00"	"CHF 144,00"	"CHF 24,00"	""	""
"Die Bao Buns Poulet"	"CHF 1980,00"	"CHF 90,00"	"CHF 30,00"	"CHF 60,00"	"CHF 15,00"	"CHF 75,00"	"CHF 120,00"	"CHF 120,00"	"CHF 90,00"	"CHF 90,00"	"CHF 45,00"	"CHF 15,00"	"CHF 15,00"	"CHF 45,00"	"CHF 105,00"	"CHF 75,00"	"CHF 45,00"	"CHF 75,00"	"CHF 165,00"	"CHF 60,00"	"CHF 45,00"	"CHF 75,00"	"CHF 60,00"	"CHF 15,00"	"CHF 15,00"	"CHF 105,00"	"CHF 30,00"	"CHF 90,00"	"CHF 135,00"	"CHF 75,00"	""	""
"Die Dorade"	"CHF 1938,00"	""	"CHF 114,00"	""	"CHF 76,00"	""	"CHF 38,00"	"CHF 152,00"	"CHF 114,00"	"CHF 38,00"	""	"CHF 76,00"	"CHF 76,00"	"CHF 76,00"	"CHF 38,00"	"CHF 190,00"	"CHF 38,00"	""	"CHF 76,00"	"CHF 38,00"	"CHF 38,00"	"CHF 190,00"	"CHF 114,00"	""	"CHF 76,00"	"CHF 38,00"	"CHF 38,00"	"CHF 114,00"	"CHF 190,00"	""	""	""
"Die Arrabbiata Pasta Campanelle"	"CHF 1900,50"	"CHF 84,00"	"CHF 21,00"	"CHF 42,00"	"CHF 21,00"	"CHF 42,00"	"CHF 105,00"	"CHF 126,00"	"CHF 42,00"	"CHF 42,00"	"CHF 21,00"	"CHF 63,00"	"CHF 63,00"	"CHF 63,00"	"CHF 115,50"	"CHF 105,00"	"CHF 21,00"	"CHF 63,00"	"CHF 42,00"	"CHF 147,00"	"CHF 105,00"	"CHF 42,00"	"CHF 231,00"	"CHF 21,00"	"CHF 21,00"	""	"CHF 63,00"	"CHF 42,00"	"CHF 21,00"	"CHF 126,00"	""	""
"Der Zander Saltimbocca"	"CHF 1900,00"	""	"CHF 76,00"	"CHF 38,00"	"CHF 38,00"	""	"CHF 76,00"	"CHF 152,00"	"CHF 190,00"	""	""	""	"CHF 76,00"	"CHF 38,00"	"CHF 76,00"	"CHF 190,00"	""	""	"CHF 114,00"	"CHF 38,00"	"CHF 76,00"	"CHF 228,00"	""	""	""	"CHF 38,00"	"CHF 76,00"	"CHF 228,00"	"CHF 76,00"	"CHF 76,00"	""	""
"Pizza Menu"	"CHF 1872,00"	""	"CHF 96,00"	"CHF 144,00"	"CHF 216,00"	"CHF 96,00"	"CHF 72,00"	""	""	""	"CHF 168,00"	"CHF 48,00"	"CHF 144,00"	"CHF 72,00"	""	""	"CHF 48,00"	"CHF 72,00"	"CHF 120,00"	"CHF 96,00"	"CHF 48,00"	""	""	"CHF 96,00"	"CHF 120,00"	"CHF 144,00"	"CHF 48,00"	"CHF 24,00"	""	""	""	""
"Das Rindsfilet Stroganoff"	"CHF 1849,00"	"CHF 172,00"	"CHF 86,00"	""	"CHF 86,00"	"CHF 43,00"	"CHF 129,00"	"CHF 86,00"	"CHF 86,00"	""	""	""	""	""	"CHF 107,50"	""	"CHF 43,00"	"CHF 43,00"	""	"CHF 43,00"	"CHF 86,00"	"CHF 21,50"	""	"CHF 86,00"	"CHF 86,00"	"CHF 43,00"	"CHF 215,00"	"CHF 43,00"	"CHF 172,00"	"CHF 172,00"	""	""
"Das Lachs Tatar"	"CHF 1824,00"	"CHF 76,00"	"CHF 76,00"	""	""	"CHF 57,00"	"CHF 57,00"	"CHF 76,00"	"CHF 38,00"	"CHF 19,00"	"CHF 38,00"	"CHF 76,00"	"CHF 38,00"	"CHF 57,00"	"CHF 171,00"	""	""	""	"CHF 38,00"	"CHF 19,00"	"CHF 190,00"	"CHF 228,00"	"CHF 19,00"	"CHF 19,00"	"CHF 76,00"	"CHF 133,00"	"CHF 95,00"	"CHF 57,00"	"CHF 114,00"	"CHF 57,00"	""	""
