"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Das Tartufo Coco Nocciola"	"CHF 234,00"	"CHF 13,00"	""	""	""	"CHF 13,00"	""	"CHF 39,00"	"CHF 13,00"	""	""	""	"CHF 26,00"	""	"CHF 13,00"	"CHF 13,00"	"CHF 13,00"	""	""	"CHF 13,00"	""	"CHF 13,00"	"CHF 26,00"	""	""	""	"CHF 13,00"	"CHF 13,00"	""	"CHF 13,00"	""	""
"Sashimi Salmon"	"CHF 224,00"	""	""	"CHF 14,00"	""	""	"CHF 14,00"	"CHF 14,00"	""	""	""	""	"CHF 14,00"	"CHF 14,00"	"CHF 14,00"	""	""	""	""	""	""	"CHF 14,00"	"CHF 28,00"	"CHF 14,00"	""	"CHF 28,00"	""	"CHF 14,00"	"CHF 42,00"	""	""	""
"Sashimi Tuna"	"CHF 210,00"	""	""	"CHF 14,00"	""	"CHF 14,00"	"CHF 14,00"	""	""	""	""	""	""	"CHF 28,00"	"CHF 14,00"	""	""	""	""	""	""	""	"CHF 14,00"	""	""	"CHF 28,00"	""	"CHF 28,00"	"CHF 56,00"	""	""	""
"Das Choco Nocciola"	"CHF 208,00"	"CHF 13,00"	""	""	""	""	"CHF 13,00"	""	"CHF 26,00"	"CHF 13,00"	"CHF 13,00"	""	""	"CHF 39,00"	""	"CHF 13,00"	""	""	""	""	""	"CHF 13,00"	"CHF 13,00"	""	""	"CHF 26,00"	""	""	"CHF 13,00"	"CHF 13,00"	""	""
"Kinder Pasta Bolognaise"	"CHF 180,00"	"CHF 15,00"	""	"CHF 15,00"	""	""	""	"CHF 15,00"	""	""	""	"CHF 30,00"	"CHF 15,00"	""	""	"CHF 15,00"	""	""	""	""	""	""	"CHF 45,00"	""	""	""	""	""	"CHF 30,00"	""	""	""
"Oliv Menü"	"CHF 180,00"	""	""	""	""	""	""	""	""	"CHF 180,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Smoked Salmon"	"CHF 168,00"	"CHF 48,00"	""	""	""	""	"CHF 12,00"	"CHF 12,00"	""	""	""	""	""	""	""	""	"CHF 12,00"	"CHF 12,00"	""	"CHF 12,00"	"CHF 36,00"	""	""	""	""	""	"CHF 12,00"	""	"CHF 12,00"	""	""	""
"Der Mamma's Kuchen"	"CHF 168,00"	"CHF 24,00"	""	""	""	""	"CHF 12,00"	""	"CHF 36,00"	"CHF 12,00"	"CHF 12,00"	""	"CHF 12,00"	""	"CHF 24,00"	""	""	""	""	""	""	"CHF 12,00"	""	""	""	""	""	""	""	"CHF 24,00"	""	""
"Pizza Quattro Formaggi TA"	"CHF 144,00"	""	"CHF 16,00"	""	""	""	"CHF 16,00"	""	""	""	"CHF 32,00"	"CHF 16,00"	"CHF 16,00"	"CHF 32,00"	""	""	""	""	""	""	""	""	""	""	"CHF 16,00"	""	""	""	""	""	""	""
"Tomaten bruschetta"	"CHF 144,00"	""	""	""	""	""	""	""	""	""	""	""	"CHF 90,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 54,00"	""	""	""	""	""
