"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Panache 25cl"	"68"	"2"	"3"	"1"	""	"5"	"8"	"1"	"2"	"2"	"2"	"2"	"2"	"4"	"4"	"1"	"5"	"4"	"3"	"5"	""	""	"3"	""	""	"1"	""	"3"	"3"	"2"	""	""
"Braufrisch 25cl"	"67"	"1"	""	"1"	""	"1"	"1"	"6"	"7"	""	""	""	""	"3"	"1"	""	"2"	"3"	""	""	"3"	"3"	"1"	"4"	""	""	"9"	"12"	"6"	"3"	""	""
"Coconut Kiss"	"66"	"4"	""	""	""	""	"6"	"12"	"2"	""	"1"	""	""	""	"7"	"1"	""	""	""	"1"	"6"	"6"	"1"	""	"2"	""	""	"8"	"8"	"1"	""	""
"Sanbitter Spritz"	"66"	"1"	"5"	""	"1"	"8"	"3"	"4"	"2"	"2"	"2"	""	"3"	"1"	"2"	"1"	"1"	""	"2"	"3"	"3"	"6"	"2"	"1"	"1"	"1"	"1"	"4"	"3"	"3"	""	""
"süss"	"65"	"2"	""	"1"	"2"	"1"	"2"	"7"	"1"	""	"1"	""	""	"2"	""	"4"	""	"1"	""	""	"1"	"20"	"2"	""	""	"1"	"3"	"9"	"5"	""	""	""
"Espresso Macchiato"	"65"	"2"	"3"	"1"	"1"	""	"2"	"1"	"3"	"2"	"5"	"2"	"5"	"7"	""	""	""	"8"	"6"	"3"	"1"	"1"	"1"	""	"2"	"3"	"3"	""	"3"	""	""	""
"Rubiolo Chianti Classico 10cl"	"64"	"2"	"1"	""	""	""	"2"	"7"	"6"	""	"3"	""	""	""	"4"	"6"	""	"2"	"1"	"3"	""	"2"	"5"	"2"	"3"	"5"	"3"	"4"	"3"	""	""	""
"Tonic"	"61"	""	""	"1"	""	"1"	"10"	"6"	""	"2"	""	"2"	""	"4"	"8"	"1"	""	""	"1"	"2"	"1"	"2"	""	""	""	"3"	"9"	"2"	"6"	""	""	""
"Epesses Vignefol 10cl"	"59"	""	"1"	""	""	"4"	""	"2"	""	"12"	""	"1"	""	"6"	"1"	"1"	""	"4"	"3"	""	"3"	"6"	"2"	""	""	"3"	""	"6"	"2"	"2"	""	""
"Petit Chablis 10cl"	"58"	""	""	"1"	"3"	"3"	"4"	"2"	"1"	"1"	""	""	"1"	"2"	"3"	""	"2"	"3"	""	"4"	"10"	"3"	"4"	"2"	""	"4"	"1"	""	"4"	""	""	""
