"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Tagesmenu 3"	"128"	""	"8"	"4"	"4"	"5"	"1"	""	""	"1"	"9"	"14"	"12"	"5"	""	""	"4"	"8"	"13"	"11"	"6"	""	""	""	"4"	"7"	"5"	"7"	""	""	""	""
"Pasta Pesto TA"	"126"	"3"	"5"	"6"	"7"	""	"9"	"5"	""	"4"	"5"	"9"	"6"	"7"	"1"	"1"	""	"4"	"6"	"2"	"5"	"5"	"1"	"2"	"6"	"3"	"7"	"7"	"5"	"5"	""	""
"Pizza Parma"	"124"	"1"	""	"1"	"4"	"4"	"6"	"8"	"2"	""	"6"	"3"	"4"	"7"	"6"	"2"	""	"6"	"4"	"2"	"7"	"4"	"4"	"3"	"3"	"4"	"10"	"11"	"8"	"4"	""	""
"Der Grieche"	"123"	"5"	"6"	"2"	"2"	"3"	"8"	"11"	"7"	"7"	"3"	"2"	"6"	"5"	"11"	"3"	""	"3"	"6"	"2"	"3"	"5"	"2"	"2"	"2"	"3"	"2"	"5"	"3"	"4"	""	""
"Das Tartufo Arancini"	"118"	"2"	"1"	"2"	"4"	"4"	"4"	"6"	"4"	"1"	"3"	"2"	"2"	"4"	"4"	"3"	"3"	"6"	"4"	"4"	"8"	"9"	"4"	"2"	"3"	"4"	"3"	"12"	"7"	"3"	""	""
"Der Tomaten Burrata Risotto"	"115"	"3"	""	"2"	"4"	"2"	"5"	"10"	"7"	"1"	"8"	"3"	"1"	"3"	"7"	""	"3"	"4"	"1"	"3"	"8"	"7"	"1"	"1"	"2"	"2"	"3"	"12"	"8"	"4"	""	""
"Pizza Vegetariana"	"113"	"7"	"2"	"4"	"2"	"4"	"3"	"6"	"3"	"1"	"4"	"2"	"3"	"2"	"8"	"2"	""	"5"	"5"	"1"	"10"	"12"	"7"	"1"	"3"	""	"4"	"5"	"6"	"1"	""	""
"Die Poulet Pasta Torfie"	"110"	"1"	""	"5"	"2"	"3"	"7"	"6"	"2"	"3"	"2"	"1"	"2"	"4"	"7"	"2"	""	"5"	"7"	"4"	"6"	"4"	"7"	"1"	"1"	"2"	"3"	"7"	"12"	"4"	""	""
"Pizza und Küche"	"103"	"4"	"3"	"1"	"3"	"2"	"4"	"10"	"5"	"5"	"1"	"3"	"1"	"7"	"7"	"1"	"3"	"3"	"3"	"2"	"5"	"8"	"1"	"2"	"2"	"2"	"2"	"5"	"6"	"2"	""	""
"Das Lachs Tatar"	"96"	"4"	"4"	""	""	"3"	"3"	"4"	"2"	"1"	"2"	"4"	"2"	"3"	"9"	""	""	""	"2"	"1"	"10"	"12"	"1"	"1"	"4"	"7"	"5"	"3"	"6"	"3"	""	""
"Die Bolognese Pasta Linguine"	"96"	"5"	"2"	""	"1"	"3"	"5"	"10"	"5"	"1"	"1"	"3"	"3"	"1"	"7"	"8"	"2"	"1"	"1"	"2"	"6"	"7"	"3"	"3"	"1"	""	"2"	"5"	"5"	"3"	""	""
"Die Pistazien Ravioli"	"96"	"6"	""	"1"	"3"	"3"	"7"	"4"	"3"	"4"	"3"	"1"	"3"	"2"	"7"	"3"	"1"	"5"	"2"	"2"	"8"	"5"	"1"	""	"1"	"2"	"1"	"4"	"7"	"7"	""	""
"Die Pesto Pasta Trofie"	"96"	"5"	"2"	"4"	"3"	"5"	"5"	"10"	"5"	"2"	"2"	"4"	"2"	"3"	"4"	"2"	""	"7"	"1"	"3"	"4"	"4"	"2"	"2"	"1"	"2"	"1"	"6"	"4"	"1"	""	""
"Menu"	"96"	""	""	"4"	""	""	"4"	""	""	""	""	""	""	"50"	""	""	""	""	"38"	""	""	""	""	""	""	""	""	""	""	""	""	""
"Die Arrabbiata Pasta Campanelle"	"91"	"4"	"1"	"2"	"1"	"2"	"5"	"6"	"2"	"2"	"1"	"3"	"3"	"3"	"6"	"5"	"1"	"3"	"2"	"7"	"5"	"2"	"11"	"1"	"1"	""	"3"	"2"	"1"	"6"	""	""
"Die Tomatencreme Suppe"	"90"	"7"	"1"	"2"	"2"	"1"	"2"	"3"	"6"	"3"	""	"1"	"4"	"2"	"8"	"6"	"1"	"4"	"1"	"2"	"2"	"1"	"6"	"1"	"2"	"1"	"2"	"3"	"11"	"5"	""	""
"Pizza Bernese"	"85"	"1"	""	"3"	"2"	"3"	"8"	"7"	"1"	"2"	"3"	"3"	"3"	"3"	""	"4"	"1"	""	""	"4"	"8"	"7"	"6"	"2"	"5"	"3"	"2"	"3"	"1"	""	""	""
"Die Gemüse Tempura"	"84"	"3"	"2"	""	""	"3"	"4"	"8"	"2"	"1"	"1"	""	"1"	"2"	"6"	"3"	"1"	"6"	"1"	"2"	"4"	"1"	"5"	"3"	""	"5"	"3"	"3"	"12"	"2"	""	""
"Pizza Tonno"	"84"	"1"	"3"	"4"	"3"	"3"	"2"	"5"	"5"	"3"	"2"	"1"	"2"	"2"	"3"	"1"	""	"4"	"1"	""	"8"	"3"	"3"	""	"5"	"1"	"7"	"5"	"6"	"1"	""	""
"Der New York Cheesecake"	"83"	"4"	"1"	"1"	"1"	"1"	"2"	"12"	""	""	"1"	""	"2"	"4"	"8"	"2"	"1"	""	""	"4"	"5"	"12"	"3"	"1"	"2"	"3"	""	"3"	"8"	"2"	""	""
"Die Aglio Olio Pasta Linguine"	"79"	"3"	"1"	"5"	"1"	"4"	"6"	"7"	"3"	""	"1"	""	"4"	"3"	"4"	"2"	"3"	"2"	"2"	"2"	"6"	"4"	"2"	""	""	"2"	"1"	"4"	"4"	"3"	""	""
"Pizza Menu"	"78"	""	"4"	"6"	"9"	"4"	"3"	""	""	""	"7"	"2"	"6"	"3"	""	""	"2"	"3"	"5"	"4"	"2"	""	""	"4"	"5"	"6"	"2"	"1"	""	""	""	""
